統計期,廠牌,數量
108年 10月,HARLEY0DAVIDSON,65
108年 11月,HARLEY0DAVIDSON,44
108年 12月,HARLEY0DAVIDSON,22
109年 1月,HARLEY0DAVIDSON,47
109年 2月,HARLEY0DAVIDSON,43
109年 3月,HARLEY0DAVIDSON,40
109年 4月,HARLEY0DAVIDSON,48
109年 5月,HARLEY0DAVIDSON,51
109年 6月,HARLEY0DAVIDSON,37
109年 7月,HARLEY0DAVIDSON,55
109年 8月,HARLEY0DAVIDSON,32
109年 9月,HARLEY0DAVIDSON,27
109年 10月,HARLEY0DAVIDSON,24
109年 11月,HARLEY0DAVIDSON,36
109年 12月,HARLEY0DAVIDSON,28
110年 1月,HARLEY0DAVIDSON,10
110年 2月,HARLEY0DAVIDSON,12
110年 3月,HARLEY0DAVIDSON,44
110年 4月,HARLEY0DAVIDSON,18
110年 5月,HARLEY0DAVIDSON,16
110年 6月,HARLEY0DAVIDSON,13
110年 7月,HARLEY0DAVIDSON,14
110年 8月,HARLEY0DAVIDSON,12
110年 9月,HARLEY0DAVIDSON,29
110年 10月,HARLEY0DAVIDSON,32
110年 11月,HARLEY0DAVIDSON,57
110年 12月,HARLEY0DAVIDSON,43
111年 1月,HARLEY0DAVIDSON,25
111年 2月,HARLEY0DAVIDSON,16
111年 3月,HARLEY0DAVIDSON,32
111年 4月,HARLEY0DAVIDSON,38
111年 5月,HARLEY0DAVIDSON,47
111年 6月,HARLEY0DAVIDSON,21
111年 7月,HARLEY0DAVIDSON,38
111年 8月,HARLEY0DAVIDSON,29
111年 9月,HARLEY0DAVIDSON,33
111年 10月,HARLEY0DAVIDSON,31
111年 11月,HARLEY0DAVIDSON,52
111年 12月,HARLEY0DAVIDSON,27
112年 1月,HARLEY0DAVIDSON,16
112年 2月,HARLEY0DAVIDSON,22
112年 3月,HARLEY0DAVIDSON,34
112年 4月,HARLEY0DAVIDSON,42
112年 5月,HARLEY0DAVIDSON,47
112年 6月,HARLEY0DAVIDSON,38
112年 7月,HARLEY0DAVIDSON,37
112年 8月,HARLEY0DAVIDSON,29
107年 1月,HONDA,192
107年 2月,HONDA,109
107年 3月,HONDA,253
107年 4月,HONDA,139
107年 5月,HONDA,156
107年 6月,HONDA,204
107年 7月,HONDA,349
107年 8月,HONDA,323
107年 9月,HONDA,246
107年 10月,HONDA,278
107年 11月,HONDA,193
107年 12月,HONDA,199
108年 1月,HONDA,232
108年 2月,HONDA,202
108年 3月,HONDA,241
108年 4月,HONDA,568
108年 5月,HONDA,353
108年 6月,HONDA,385
108年 7月,HONDA,237
108年 8月,HONDA,311
108年 9月,HONDA,222
108年 10月,HONDA,314
108年 11月,HONDA,239
108年 12月,HONDA,163
109年 1月,HONDA,173
109年 2月,HONDA,578
109年 3月,HONDA,247
109年 4月,HONDA,468
109年 5月,HONDA,358
109年 6月,HONDA,721
109年 7月,HONDA,540
109年 8月,HONDA,332
109年 9月,HONDA,539
109年 10月,HONDA,332
109年 11月,HONDA,349
109年 12月,HONDA,252
110年 1月,HONDA,277
110年 2月,HONDA,232
110年 3月,HONDA,642
110年 4月,HONDA,701
110年 5月,HONDA,708
110年 6月,HONDA,"1,433"
110年 7月,HONDA,610
110年 8月,HONDA,951
110年 9月,HONDA,"1,121"
110年 10月,HONDA,915
110年 11月,HONDA,801
110年 12月,HONDA,583
111年 1月,HONDA,465
111年 2月,HONDA,414
111年 3月,HONDA,"1,242"
111年 4月,HONDA,926
111年 5月,HONDA,922
111年 6月,HONDA,560
111年 7月,HONDA,559
111年 8月,HONDA,707
111年 9月,HONDA,907
111年 10月,HONDA,921
111年 11月,HONDA,488
111年 12月,HONDA,794
112年 1月,HONDA,402
112年 2月,HONDA,"1,118"
112年 3月,HONDA,"1,237"
112年 4月,HONDA,664
112年 5月,HONDA,"1,352"
112年 6月,HONDA,874
112年 7月,HONDA,851
112年 8月,HONDA,891
107年 1月,HUSQVARNA,0
107年 2月,HUSQVARNA,0
107年 3月,HUSQVARNA,0
107年 4月,HUSQVARNA,0
107年 5月,HUSQVARNA,0
107年 6月,HUSQVARNA,4
107年 7月,HUSQVARNA,1
107年 8月,HUSQVARNA,1
107年 9月,HUSQVARNA,0
107年 10月,HUSQVARNA,4
107年 11月,HUSQVARNA,1
107年 12月,HUSQVARNA,1
108年 1月,HUSQVARNA,2
108年 2月,HUSQVARNA,4
108年 3月,HUSQVARNA,4
108年 4月,HUSQVARNA,10
108年 5月,HUSQVARNA,19
108年 6月,HUSQVARNA,14
108年 7月,HUSQVARNA,17
108年 8月,HUSQVARNA,7
108年 9月,HUSQVARNA,6
108年 10月,HUSQVARNA,2
108年 11月,HUSQVARNA,7
108年 12月,HUSQVARNA,9
109年 1月,HUSQVARNA,10
109年 2月,HUSQVARNA,6
109年 3月,HUSQVARNA,8
109年 4月,HUSQVARNA,10
109年 5月,HUSQVARNA,9
109年 6月,HUSQVARNA,6
109年 7月,HUSQVARNA,6
109年 8月,HUSQVARNA,6
109年 9月,HUSQVARNA,3
109年 10月,HUSQVARNA,11
109年 11月,HUSQVARNA,9
109年 12月,HUSQVARNA,6
110年 1月,HUSQVARNA,7
110年 2月,HUSQVARNA,12
110年 3月,HUSQVARNA,38
110年 4月,HUSQVARNA,28
110年 5月,HUSQVARNA,76
110年 6月,HUSQVARNA,47
110年 7月,HUSQVARNA,17
110年 8月,HUSQVARNA,17
110年 9月,HUSQVARNA,38
110年 10月,HUSQVARNA,37
110年 11月,HUSQVARNA,49
110年 12月,HUSQVARNA,23
111年 1月,HUSQVARNA,13
111年 2月,HUSQVARNA,7
111年 3月,HUSQVARNA,15
111年 4月,HUSQVARNA,45
111年 5月,HUSQVARNA,32
111年 6月,HUSQVARNA,16
111年 7月,HUSQVARNA,56
111年 8月,HUSQVARNA,29
111年 9月,HUSQVARNA,32
111年 10月,HUSQVARNA,29
111年 11月,HUSQVARNA,26
111年 12月,HUSQVARNA,38
112年 1月,HUSQVARNA,12
112年 2月,HUSQVARNA,19
112年 3月,HUSQVARNA,43
112年 4月,HUSQVARNA,33
112年 5月,HUSQVARNA,30
112年 6月,HUSQVARNA,33
112年 7月,HUSQVARNA,27
112年 8月,HUSQVARNA,22
107年 1月,INDIAN,17
107年 2月,INDIAN,1
107年 3月,INDIAN,3
107年 4月,INDIAN,8
107年 5月,INDIAN,9
107年 6月,INDIAN,13
107年 7月,INDIAN,6
107年 8月,INDIAN,15
107年 9月,INDIAN,9
107年 10月,INDIAN,4
107年 11月,INDIAN,8
107年 12月,INDIAN,15
108年 1月,INDIAN,5
108年 2月,INDIAN,2
108年 3月,INDIAN,5
108年 4月,INDIAN,11
108年 5月,INDIAN,9
108年 6月,INDIAN,4
108年 7月,INDIAN,10
108年 8月,INDIAN,10
108年 9月,INDIAN,7
108年 10月,INDIAN,6
108年 11月,INDIAN,7
108年 12月,INDIAN,25
109年 1月,INDIAN,1
109年 2月,INDIAN,3
109年 3月,INDIAN,11
109年 4月,INDIAN,18
109年 5月,INDIAN,8
109年 6月,INDIAN,21
109年 7月,INDIAN,19
109年 8月,INDIAN,10
109年 9月,INDIAN,15
109年 10月,INDIAN,25
109年 11月,INDIAN,12
109年 12月,INDIAN,15
110年 1月,INDIAN,13
110年 2月,INDIAN,8
110年 3月,INDIAN,15
110年 4月,INDIAN,18
110年 5月,INDIAN,22
110年 6月,INDIAN,13
110年 7月,INDIAN,12
110年 8月,INDIAN,9
110年 9月,INDIAN,20
110年 10月,INDIAN,16
110年 11月,INDIAN,14
110年 12月,INDIAN,15
111年 1月,INDIAN,16
111年 2月,INDIAN,7
111年 3月,INDIAN,16
111年 4月,INDIAN,6
111年 5月,INDIAN,1
111年 6月,INDIAN,19
111年 7月,INDIAN,11
111年 8月,INDIAN,4
111年 9月,INDIAN,12
111年 10月,INDIAN,15
111年 11月,INDIAN,11
111年 12月,INDIAN,10
112年 1月,INDIAN,13
112年 2月,INDIAN,8
112年 3月,INDIAN,9
112年 4月,INDIAN,20
112年 5月,INDIAN,12
112年 6月,INDIAN,17
112年 7月,INDIAN,14
112年 8月,INDIAN,5
107年 1月,KAWASAKI,98
107年 2月,KAWASAKI,122
107年 3月,KAWASAKI,204
107年 4月,KAWASAKI,128
107年 5月,KAWASAKI,116
107年 6月,KAWASAKI,301
107年 7月,KAWASAKI,105
107年 8月,KAWASAKI,317
107年 9月,KAWASAKI,148
107年 10月,KAWASAKI,96
107年 11月,KAWASAKI,101
107年 12月,KAWASAKI,252
108年 1月,KAWASAKI,35
108年 2月,KAWASAKI,127
108年 3月,KAWASAKI,211
108年 4月,KAWASAKI,153
108年 5月,KAWASAKI,429
108年 6月,KAWASAKI,199
108年 7月,KAWASAKI,290
108年 8月,KAWASAKI,152
108年 9月,KAWASAKI,192
108年 10月,KAWASAKI,172
108年 11月,KAWASAKI,175
108年 12月,KAWASAKI,196
109年 1月,KAWASAKI,93
109年 2月,KAWASAKI,172
109年 3月,KAWASAKI,219
109年 4月,KAWASAKI,167
109年 5月,KAWASAKI,258
109年 6月,KAWASAKI,327
109年 7月,KAWASAKI,472
109年 8月,KAWASAKI,328
109年 9月,KAWASAKI,280
109年 10月,KAWASAKI,150
109年 11月,KAWASAKI,78
109年 12月,KAWASAKI,407
110年 1月,KAWASAKI,81
110年 2月,KAWASAKI,51
110年 3月,KAWASAKI,151
110年 4月,KAWASAKI,514
110年 5月,KAWASAKI,374
110年 6月,KAWASAKI,186
110年 7月,KAWASAKI,270
110年 8月,KAWASAKI,180
110年 9月,KAWASAKI,331
110年 10月,KAWASAKI,242
110年 11月,KAWASAKI,261
110年 12月,KAWASAKI,298
111年 1月,KAWASAKI,193
111年 2月,KAWASAKI,114
111年 3月,KAWASAKI,210
111年 4月,KAWASAKI,149
111年 5月,KAWASAKI,85
111年 6月,KAWASAKI,92
111年 7月,KAWASAKI,211
111年 8月,KAWASAKI,243
111年 9月,KAWASAKI,226
111年 10月,KAWASAKI,95
111年 11月,KAWASAKI,300
111年 12月,KAWASAKI,291
112年 1月,KAWASAKI,103
112年 2月,KAWASAKI,96
112年 3月,KAWASAKI,134
112年 4月,KAWASAKI,305
112年 5月,KAWASAKI,389
112年 6月,KAWASAKI,306
112年 7月,KAWASAKI,187
112年 8月,KAWASAKI,144
107年 1月,KTM,59
107年 2月,KTM,32
107年 3月,KTM,24
107年 4月,KTM,20
107年 5月,KTM,27
107年 6月,KTM,60
107年 7月,KTM,31
107年 8月,KTM,29
107年 9月,KTM,36
107年 10月,KTM,35
107年 11月,KTM,26
107年 12月,KTM,40
108年 1月,KTM,36
108年 2月,KTM,19
108年 3月,KTM,32
108年 4月,KTM,25
108年 5月,KTM,18
108年 6月,KTM,31
108年 7月,KTM,19
108年 8月,KTM,16
108年 9月,KTM,22
108年 10月,KTM,37
108年 11月,KTM,29
108年 12月,KTM,41
109年 1月,KTM,26
109年 2月,KTM,33
109年 3月,KTM,40
109年 4月,KTM,40
109年 5月,KTM,65
109年 6月,KTM,47
109年 7月,KTM,45
109年 8月,KTM,22
109年 9月,KTM,88
109年 10月,KTM,75
109年 11月,KTM,53
109年 12月,KTM,55
110年 1月,KTM,33
110年 2月,KTM,22
110年 3月,KTM,38
110年 4月,KTM,63
110年 5月,KTM,65
110年 6月,KTM,45
110年 7月,KTM,43
110年 8月,KTM,48
110年 9月,KTM,35
110年 10月,KTM,37
110年 11月,KTM,54
110年 12月,KTM,29
111年 1月,KTM,24
111年 2月,KTM,11
111年 3月,KTM,24
111年 4月,KTM,13
111年 5月,KTM,32
111年 6月,KTM,76
111年 7月,KTM,35
111年 8月,KTM,76
111年 9月,KTM,30
111年 10月,KTM,25
111年 11月,KTM,30
111年 12月,KTM,30
112年 1月,KTM,22
112年 2月,KTM,24
112年 3月,KTM,86
112年 4月,KTM,41
112年 5月,KTM,36
112年 6月,KTM,40
112年 7月,KTM,29
112年 8月,KTM,75
107年 1月,MVAGUSTA,12
107年 2月,MVAGUSTA,5
107年 3月,MVAGUSTA,6
107年 4月,MVAGUSTA,9
107年 5月,MVAGUSTA,7
107年 6月,MVAGUSTA,10
107年 7月,MVAGUSTA,3
107年 8月,MVAGUSTA,6
107年 9月,MVAGUSTA,9
107年 10月,MVAGUSTA,3
107年 11月,MVAGUSTA,0
107年 12月,MVAGUSTA,0
108年 1月,MVAGUSTA,4
108年 2月,MVAGUSTA,7
108年 3月,MVAGUSTA,4
108年 4月,MVAGUSTA,7
108年 5月,MVAGUSTA,6
108年 6月,MVAGUSTA,3
108年 7月,MVAGUSTA,8
108年 8月,MVAGUSTA,3
108年 9月,MVAGUSTA,6
108年 10月,MVAGUSTA,5
108年 11月,MVAGUSTA,4
108年 12月,MVAGUSTA,6
109年 1月,MVAGUSTA,3
109年 2月,MVAGUSTA,3
109年 3月,MVAGUSTA,4
109年 4月,MVAGUSTA,7
109年 5月,MVAGUSTA,4
109年 6月,MVAGUSTA,7
109年 7月,MVAGUSTA,10
109年 8月,MVAGUSTA,4
109年 9月,MVAGUSTA,6
109年 10月,MVAGUSTA,10
109年 11月,MVAGUSTA,18
109年 12月,MVAGUSTA,21
110年 1月,MVAGUSTA,11
110年 2月,MVAGUSTA,4
110年 3月,MVAGUSTA,7
110年 4月,MVAGUSTA,5
110年 5月,MVAGUSTA,1
110年 6月,MVAGUSTA,2
110年 7月,MVAGUSTA,5
110年 8月,MVAGUSTA,1
110年 9月,MVAGUSTA,2
110年 10月,MVAGUSTA,1
110年 11月,MVAGUSTA,2
110年 12月,MVAGUSTA,1
111年 1月,MVAGUSTA,2
111年 2月,MVAGUSTA,1
111年 3月,MVAGUSTA,0
111年 4月,MVAGUSTA,0
111年 5月,MVAGUSTA,1
111年 6月,MVAGUSTA,11
111年 7月,MVAGUSTA,6
111年 8月,MVAGUSTA,2
111年 9月,MVAGUSTA,4
111年 10月,MVAGUSTA,2
111年 11月,MVAGUSTA,4
111年 12月,MVAGUSTA,2
112年 1月,MVAGUSTA,2
112年 2月,MVAGUSTA,5
112年 3月,MVAGUSTA,10
112年 4月,MVAGUSTA,1
112年 5月,MVAGUSTA,4
112年 6月,MVAGUSTA,3
112年 7月,MVAGUSTA,2
112年 8月,MVAGUSTA,4
107年 1月,SUZUKI,91
107年 2月,SUZUKI,44
107年 3月,SUZUKI,72
107年 4月,SUZUKI,114
107年 5月,SUZUKI,124
107年 6月,SUZUKI,98
107年 7月,SUZUKI,67
107年 8月,SUZUKI,96
107年 9月,SUZUKI,75
107年 10月,SUZUKI,56
107年 11月,SUZUKI,45
107年 12月,SUZUKI,93
108年 1月,SUZUKI,96
108年 2月,SUZUKI,39
108年 3月,SUZUKI,51
108年 4月,SUZUKI,48
108年 5月,SUZUKI,55
108年 6月,SUZUKI,43
108年 7月,SUZUKI,56
108年 8月,SUZUKI,32
108年 9月,SUZUKI,64
108年 10月,SUZUKI,40
108年 11月,SUZUKI,93
108年 12月,SUZUKI,61
109年 1月,SUZUKI,28
109年 2月,SUZUKI,30
109年 3月,SUZUKI,64
109年 4月,SUZUKI,58
109年 5月,SUZUKI,46
109年 6月,SUZUKI,52
109年 7月,SUZUKI,52
109年 8月,SUZUKI,52
109年 9月,SUZUKI,64
109年 10月,SUZUKI,49
109年 11月,SUZUKI,50
109年 12月,SUZUKI,34
110年 1月,SUZUKI,17
110年 2月,SUZUKI,21
110年 3月,SUZUKI,79
110年 4月,SUZUKI,60
110年 5月,SUZUKI,68
110年 6月,SUZUKI,29
110年 7月,SUZUKI,38
110年 8月,SUZUKI,36
110年 9月,SUZUKI,77
110年 10月,SUZUKI,45
110年 11月,SUZUKI,49
110年 12月,SUZUKI,44
111年 1月,SUZUKI,54
