統計期,廠牌,數量
108年 8月,TRIUMPH,"3,155"
108年 9月,TRIUMPH,"3,199"
108年 10月,TRIUMPH,"3,231"
108年 11月,TRIUMPH,"3,258"
108年 12月,TRIUMPH,"3,281"
109年 1月,TRIUMPH,"3,296"
109年 2月,TRIUMPH,"3,323"
109年 3月,TRIUMPH,"3,378"
109年 4月,TRIUMPH,"3,436"
109年 5月,TRIUMPH,"3,479"
109年 6月,TRIUMPH,"3,512"
109年 7月,TRIUMPH,"3,531"
109年 8月,TRIUMPH,"3,567"
109年 9月,TRIUMPH,"3,611"
109年 10月,TRIUMPH,"3,649"
109年 11月,TRIUMPH,"3,701"
109年 12月,TRIUMPH,"3,728"
110年 1月,TRIUMPH,"3,751"
110年 2月,TRIUMPH,"3,774"
110年 3月,TRIUMPH,"3,799"
110年 4月,TRIUMPH,"3,825"
110年 5月,TRIUMPH,"3,835"
110年 6月,TRIUMPH,"3,885"
110年 7月,TRIUMPH,"3,958"
110年 8月,TRIUMPH,"4,072"
110年 9月,TRIUMPH,"4,147"
110年 10月,TRIUMPH,"4,320"
110年 11月,TRIUMPH,"4,495"
110年 12月,TRIUMPH,"4,623"
111年 1月,TRIUMPH,"4,698"
111年 2月,TRIUMPH,"4,722"
111年 3月,TRIUMPH,"4,766"
111年 4月,TRIUMPH,"4,791"
111年 5月,TRIUMPH,"4,816"
111年 6月,TRIUMPH,"4,869"
111年 7月,TRIUMPH,"5,002"
111年 8月,TRIUMPH,"5,094"
111年 9月,TRIUMPH,"5,201"
111年 10月,TRIUMPH,"5,359"
111年 11月,TRIUMPH,"5,470"
111年 12月,TRIUMPH,"5,570"
112年 1月,TRIUMPH,"5,628"
112年 2月,TRIUMPH,"5,668"
112年 3月,TRIUMPH,"5,758"
112年 4月,TRIUMPH,"5,827"
112年 5月,TRIUMPH,"5,880"
112年 6月,TRIUMPH,"5,953"
112年 7月,TRIUMPH,"6,013"
112年 8月,TRIUMPH,"6,083"
107年 1月,YAMAHA,"26,455"
107年 2月,YAMAHA,"26,683"
107年 3月,YAMAHA,"27,162"
107年 4月,YAMAHA,"27,546"
107年 5月,YAMAHA,"27,998"
107年 6月,YAMAHA,"28,413"
107年 7月,YAMAHA,"28,796"
107年 8月,YAMAHA,"29,122"
107年 9月,YAMAHA,"29,423"
107年 10月,YAMAHA,"29,703"
107年 11月,YAMAHA,"29,963"
107年 12月,YAMAHA,"30,290"
108年 1月,YAMAHA,"30,635"
108年 2月,YAMAHA,"30,837"
108年 3月,YAMAHA,"31,218"
108年 4月,YAMAHA,"31,534"
108年 5月,YAMAHA,"31,824"
108年 6月,YAMAHA,"32,107"
108年 7月,YAMAHA,"32,575"
108年 8月,YAMAHA,"32,860"
108年 9月,YAMAHA,"33,190"
108年 10月,YAMAHA,"33,485"
108年 11月,YAMAHA,"33,709"
108年 12月,YAMAHA,"33,963"
109年 1月,YAMAHA,"34,243"
109年 2月,YAMAHA,"34,632"
109年 3月,YAMAHA,"35,124"
109年 4月,YAMAHA,"35,554"
109年 5月,YAMAHA,"35,999"
109年 6月,YAMAHA,"36,535"
109年 7月,YAMAHA,"36,988"
109年 8月,YAMAHA,"37,346"
109年 9月,YAMAHA,"37,863"
109年 10月,YAMAHA,"38,250"
109年 11月,YAMAHA,"38,681"
109年 12月,YAMAHA,"39,228"
110年 1月,YAMAHA,"39,412"
110年 2月,YAMAHA,"39,608"
110年 3月,YAMAHA,"39,929"
110年 4月,YAMAHA,"40,342"
110年 5月,YAMAHA,"40,711"
110年 6月,YAMAHA,"40,902"
110年 7月,YAMAHA,"41,349"
110年 8月,YAMAHA,"41,649"
110年 9月,YAMAHA,"42,214"
110年 10月,YAMAHA,"42,569"
110年 11月,YAMAHA,"42,883"
110年 12月,YAMAHA,"43,177"
111年 1月,YAMAHA,"43,440"
111年 2月,YAMAHA,"43,487"
111年 3月,YAMAHA,"43,687"
111年 4月,YAMAHA,"43,813"
111年 5月,YAMAHA,"44,053"
111年 6月,YAMAHA,"44,307"
111年 7月,YAMAHA,"44,604"
111年 8月,YAMAHA,"44,915"
111年 9月,YAMAHA,"45,238"
111年 10月,YAMAHA,"45,471"
111年 11月,YAMAHA,"45,811"
111年 12月,YAMAHA,"46,140"
112年 1月,YAMAHA,"46,383"
112年 2月,YAMAHA,"46,705"
112年 3月,YAMAHA,"47,035"
112年 4月,YAMAHA,"47,283"
112年 5月,YAMAHA,"47,570"
112年 6月,YAMAHA,"47,892"
112年 7月,YAMAHA,"48,293"
112年 8月,YAMAHA,"48,580"
