統計期,廠牌,數量
111年 1月,DUCATI,"4,422"
111年 2月,DUCATI,"4,423"
111年 3月,DUCATI,"4,448"
111年 4月,DUCATI,"4,445"
111年 5月,DUCATI,"4,455"
111年 6月,DUCATI,"4,467"
111年 7月,DUCATI,"4,486"
111年 8月,DUCATI,"4,540"
111年 9月,DUCATI,"4,566"
111年 10月,DUCATI,"4,585"
111年 11月,DUCATI,"4,588"
111年 12月,DUCATI,"4,600"
112年 1月,DUCATI,"4,617"
112年 2月,DUCATI,"4,623"
112年 3月,DUCATI,"4,626"
112年 4月,DUCATI,"4,657"
112年 5月,DUCATI,"4,704"
112年 6月,DUCATI,"4,723"
112年 7月,DUCATI,"4,747"
112年 8月,DUCATI,"4,753"
107年 1月,HARLEY-DAVIDSON,"6,712"
107年 2月,HARLEY-DAVIDSON,"6,738"
107年 3月,HARLEY-DAVIDSON,"6,805"
107年 4月,HARLEY-DAVIDSON,"6,829"
107年 5月,HARLEY-DAVIDSON,"6,891"
107年 6月,HARLEY-DAVIDSON,"6,937"
107年 7月,HARLEY-DAVIDSON,"6,985"
107年 8月,HARLEY-DAVIDSON,"7,045"
107年 9月,HARLEY-DAVIDSON,"7,089"
107年 10月,HARLEY-DAVIDSON,"7,129"
107年 11月,HARLEY-DAVIDSON,"7,165"
107年 12月,HARLEY-DAVIDSON,"7,178"
108年 1月,HARLEY-DAVIDSON,"7,206"
108年 2月,HARLEY-DAVIDSON,"7,226"
108年 3月,HARLEY-DAVIDSON,"7,255"
108年 4月,HARLEY-DAVIDSON,"7,289"
108年 5月,HARLEY-DAVIDSON,"7,311"
108年 6月,HARLEY-DAVIDSON,"7,320"
108年 7月,HARLEY-DAVIDSON,"7,356"
108年 8月,HARLEY-DAVIDSON,"7,390"
108年 9月,HARLEY-DAVIDSON,"7,438"
108年 10月,HARLEY-DAVIDSON,"7,501"
108年 11月,HARLEY-DAVIDSON,"7,532"
108年 12月,HARLEY-DAVIDSON,"7,542"
109年 1月,HARLEY-DAVIDSON,"7,578"
109年 2月,HARLEY-DAVIDSON,"7,626"
109年 3月,HARLEY-DAVIDSON,"7,658"
109年 4月,HARLEY-DAVIDSON,"7,716"
109年 5月,HARLEY-DAVIDSON,"7,762"
109年 6月,HARLEY-DAVIDSON,"7,797"
109年 7月,HARLEY-DAVIDSON,"7,854"
109年 8月,HARLEY-DAVIDSON,"7,877"
109年 9月,HARLEY-DAVIDSON,"7,900"
109年 10月,HARLEY-DAVIDSON,"7,919"
109年 11月,HARLEY-DAVIDSON,"7,944"
109年 12月,HARLEY-DAVIDSON,"7,972"
110年 1月,HARLEY-DAVIDSON,"7,980"
110年 2月,HARLEY-DAVIDSON,"7,987"
110年 3月,HARLEY-DAVIDSON,"8,031"
110年 4月,HARLEY-DAVIDSON,"8,051"
110年 5月,HARLEY-DAVIDSON,"8,065"
110年 6月,HARLEY-DAVIDSON,"8,074"
110年 7月,HARLEY-DAVIDSON,"8,088"
110年 8月,HARLEY-DAVIDSON,"8,094"
110年 9月,HARLEY-DAVIDSON,"8,118"
110年 10月,HARLEY-DAVIDSON,"8,149"
110年 11月,HARLEY-DAVIDSON,"8,206"
110年 12月,HARLEY-DAVIDSON,"8,235"
111年 1月,HARLEY-DAVIDSON,"8,259"
111年 2月,HARLEY-DAVIDSON,"8,274"
111年 3月,HARLEY-DAVIDSON,"8,307"
111年 4月,HARLEY-DAVIDSON,"8,348"
111年 5月,HARLEY-DAVIDSON,"8,397"
111年 6月,HARLEY-DAVIDSON,"8,418"
111年 7月,HARLEY-DAVIDSON,"8,450"
111年 8月,HARLEY-DAVIDSON,"8,478"
111年 9月,HARLEY-DAVIDSON,"8,507"
111年 10月,HARLEY-DAVIDSON,"8,528"
111年 11月,HARLEY-DAVIDSON,"8,576"
