統計期,年份,月份,廠牌,數量
109年 6月,109年,6,DUCATI,4008
109年 7月,109年,7,DUCATI,4021
109年 8月,109年,8,DUCATI,4030
109年 9月,109年,9,DUCATI,4056
109年 10月,109年,10,DUCATI,4068
109年 11月,109年,11,DUCATI,4097
109年 12月,109年,12,DUCATI,4128
110年 1月,110年,1,DUCATI,4157
110年 2月,110年,2,DUCATI,4172
110年 3月,110年,3,DUCATI,4181
110年 4月,110年,4,DUCATI,4224
110年 5月,110年,5,DUCATI,4243
110年 6月,110年,6,DUCATI,4265
110年 7月,110年,7,DUCATI,4276
110年 8月,110年,8,DUCATI,4291
110年 9月,110年,9,DUCATI,4328
110年 10月,110年,10,DUCATI,4352
110年 11月,110年,11,DUCATI,4374
110年 12月,110年,12,DUCATI,4405
111年 1月,111年,1,DUCATI,4422
111年 2月,111年,2,DUCATI,4423
111年 3月,111年,3,DUCATI,4448
111年 4月,111年,4,DUCATI,4445
111年 5月,111年,5,DUCATI,4455
111年 6月,111年,6,DUCATI,4467
111年 7月,111年,7,DUCATI,4486
111年 8月,111年,8,DUCATI,4540
111年 9月,111年,9,DUCATI,4566
111年 10月,111年,10,DUCATI,4585
111年 11月,111年,11,DUCATI,4588
111年 12月,111年,12,DUCATI,4600
112年 1月,112年,1,DUCATI,4617
112年 2月,112年,2,DUCATI,4623
112年 3月,112年,3,DUCATI,4626
112年 4月,112年,4,DUCATI,4657
112年 5月,112年,5,DUCATI,4704
112年 6月,112年,6,DUCATI,4723
112年 7月,112年,7,DUCATI,4747
112年 8月,112年,8,DUCATI,4753
107年 1月,107年,1,HARLEY-DAVIDSON,6712
107年 2月,107年,2,HARLEY-DAVIDSON,6738
107年 3月,107年,3,HARLEY-DAVIDSON,6805
107年 4月,107年,4,HARLEY-DAVIDSON,6829
107年 5月,107年,5,HARLEY-DAVIDSON,6891
107年 6月,107年,6,HARLEY-DAVIDSON,6937
107年 7月,107年,7,HARLEY-DAVIDSON,6985
107年 8月,107年,8,HARLEY-DAVIDSON,7045
107年 9月,107年,9,HARLEY-DAVIDSON,7089
107年 10月,107年,10,HARLEY-DAVIDSON,7129
107年 11月,107年,11,HARLEY-DAVIDSON,7165
107年 12月,107年,12,HARLEY-DAVIDSON,7178
108年 1月,108年,1,HARLEY-DAVIDSON,7206
108年 2月,108年,2,HARLEY-DAVIDSON,7226
108年 3月,108年,3,HARLEY-DAVIDSON,7255
108年 4月,108年,4,HARLEY-DAVIDSON,7289
108年 5月,108年,5,HARLEY-DAVIDSON,7311
108年 6月,108年,6,HARLEY-DAVIDSON,7320
108年 7月,108年,7,HARLEY-DAVIDSON,7356
108年 8月,108年,8,HARLEY-DAVIDSON,7390
108年 9月,108年,9,HARLEY-DAVIDSON,7438
108年 10月,108年,10,HARLEY-DAVIDSON,7501
108年 11月,108年,11,HARLEY-DAVIDSON,7532
108年 12月,108年,12,HARLEY-DAVIDSON,7542
109年 1月,109年,1,HARLEY-DAVIDSON,7578
109年 2月,109年,2,HARLEY-DAVIDSON,7626
109年 3月,109年,3,HARLEY-DAVIDSON,7658
109年 4月,109年,4,HARLEY-DAVIDSON,7716
109年 5月,109年,5,HARLEY-DAVIDSON,7762
109年 6月,109年,6,HARLEY-DAVIDSON,7797
109年 7月,109年,7,HARLEY-DAVIDSON,7854
109年 8月,109年,8,HARLEY-DAVIDSON,7877
109年 9月,109年,9,HARLEY-DAVIDSON,7900
109年 10月,109年,10,HARLEY-DAVIDSON,7919
109年 11月,109年,11,HARLEY-DAVIDSON,7944
109年 12月,109年,12,HARLEY-DAVIDSON,7972
110年 1月,110年,1,HARLEY-DAVIDSON,7980
110年 2月,110年,2,HARLEY-DAVIDSON,7987
110年 3月,110年,3,HARLEY-DAVIDSON,8031
110年 4月,110年,4,HARLEY-DAVIDSON,8051
110年 5月,110年,5,HARLEY-DAVIDSON,8065
110年 6月,110年,6,HARLEY-DAVIDSON,8074
110年 7月,110年,7,HARLEY-DAVIDSON,8088
110年 8月,110年,8,HARLEY-DAVIDSON,8094
110年 9月,110年,9,HARLEY-DAVIDSON,8118
110年 10月,110年,10,HARLEY-DAVIDSON,8149
110年 11月,110年,11,HARLEY-DAVIDSON,8206
110年 12月,110年,12,HARLEY-DAVIDSON,8235
111年 1月,111年,1,HARLEY-DAVIDSON,8259
111年 2月,111年,2,HARLEY-DAVIDSON,8274
111年 3月,111年,3,HARLEY-DAVIDSON,8307
111年 4月,111年,4,HARLEY-DAVIDSON,8348
111年 5月,111年,5,HARLEY-DAVIDSON,8397
111年 6月,111年,6,HARLEY-DAVIDSON,8418
111年 7月,111年,7,HARLEY-DAVIDSON,8450
111年 8月,111年,8,HARLEY-DAVIDSON,8478
111年 9月,111年,9,HARLEY-DAVIDSON,8507
111年 10月,111年,10,HARLEY-DAVIDSON,8528
111年 11月,111年,11,HARLEY-DAVIDSON,8576
111年 12月,111年,12,HARLEY-DAVIDSON,8598
112年 1月,112年,1,HARLEY-DAVIDSON,8607
112年 2月,112年,2,HARLEY-DAVIDSON,8617
112年 3月,112年,3,HARLEY-DAVIDSON,8650
112年 4月,112年,4,HARLEY-DAVIDSON,8693
112年 5月,112年,5,HARLEY-DAVIDSON,8736
112年 6月,112年,6,HARLEY-DAVIDSON,8773
112年 7月,112年,7,HARLEY-DAVIDSON,8802
112年 8月,112年,8,HARLEY-DAVIDSON,8830
107年 1月,107年,1,HONDA,15311
107年 2月,107年,2,HONDA,15413
107年 3月,107年,3,HONDA,15647
107年 4月,107年,4,HONDA,15782
107年 5月,107年,5,HONDA,15930
107年 6月,107年,6,HONDA,16122
107年 7月,107年,7,HONDA,16460
107年 8月,107年,8,HONDA,16772
107年 9月,107年,9,HONDA,17005
107年 10月,107年,10,HONDA,17271
107年 11月,107年,11,HONDA,17453
107年 12月,107年,12,HONDA,17648
108年 1月,108年,1,HONDA,17858
108年 2月,108年,2,HONDA,18064
108年 3月,108年,3,HONDA,18289
108年 4月,108年,4,HONDA,18844
