統計期,年份,月份,廠牌,數量
111年 9月,111年,9,MVAGUSTA,789
111年 10月,111年,10,MVAGUSTA,791
111年 11月,111年,11,MVAGUSTA,793
111年 12月,111年,12,MVAGUSTA,791
112年 1月,112年,1,MVAGUSTA,791
112年 2月,112年,2,MVAGUSTA,793
112年 3月,112年,3,MVAGUSTA,802
112年 4月,112年,4,MVAGUSTA,799
112年 5月,112年,5,MVAGUSTA,803
112年 6月,112年,6,MVAGUSTA,805
112年 7月,112年,7,MVAGUSTA,806
112年 8月,112年,8,MVAGUSTA,807
107年 1月,107年,1,SUZUKI,8847
107年 2月,107年,2,SUZUKI,8884
107年 3月,107年,3,SUZUKI,8946
107年 4月,107年,4,SUZUKI,9053
107年 5月,107年,5,SUZUKI,9182
107年 6月,107年,6,SUZUKI,9266
107年 7月,107年,7,SUZUKI,9335
107年 8月,107年,8,SUZUKI,9422
107年 9月,107年,9,SUZUKI,9488
107年 10月,107年,10,SUZUKI,9531
107年 11月,107年,11,SUZUKI,9581
107年 12月,107年,12,SUZUKI,9651
108年 1月,108年,1,SUZUKI,9735
108年 2月,108年,2,SUZUKI,9773
108年 3月,108年,3,SUZUKI,9818
108年 4月,108年,4,SUZUKI,9863
108年 5月,108年,5,SUZUKI,9916
108年 6月,108年,6,SUZUKI,9951
108年 7月,108年,7,SUZUKI,10002
108年 8月,108年,8,SUZUKI,10032
108年 9月,108年,9,SUZUKI,10085
108年 10月,108年,10,SUZUKI,10120
108年 11月,108年,11,SUZUKI,10203
108年 12月,108年,12,SUZUKI,10263
109年 1月,109年,1,SUZUKI,10273
109年 2月,109年,2,SUZUKI,10301
109年 3月,109年,3,SUZUKI,10357
109年 4月,109年,4,SUZUKI,10403
109年 5月,109年,5,SUZUKI,10450
109年 6月,109年,6,SUZUKI,10482
109年 7月,109年,7,SUZUKI,10527
109年 8月,109年,8,SUZUKI,10570
109年 9月,109年,9,SUZUKI,10617
109年 10月,109年,10,SUZUKI,10656
109年 11月,109年,11,SUZUKI,10689
109年 12月,109年,12,SUZUKI,10705
110年 1月,110年,1,SUZUKI,10711
110年 2月,110年,2,SUZUKI,10715
110年 3月,110年,3,SUZUKI,10778
110年 4月,110年,4,SUZUKI,10833
110年 5月,110年,5,SUZUKI,10880
110年 6月,110年,6,SUZUKI,10903
110年 7月,110年,7,SUZUKI,10934
110年 8月,110年,8,SUZUKI,10961
110年 9月,110年,9,SUZUKI,11033
110年 10月,110年,10,SUZUKI,11065
110年 11月,110年,11,SUZUKI,11106
110年 12月,110年,12,SUZUKI,11147
111年 1月,111年,1,SUZUKI,11189
111年 2月,111年,2,SUZUKI,11207
111年 3月,111年,3,SUZUKI,11246
111年 4月,111年,4,SUZUKI,11260
111年 5月,111年,5,SUZUKI,11293
111年 6月,111年,6,SUZUKI,11324
111年 7月,111年,7,SUZUKI,11351
111年 8月,111年,8,SUZUKI,11348
111年 9月,111年,9,SUZUKI,11350
111年 10月,111年,10,SUZUKI,11340
111年 11月,111年,11,SUZUKI,11348
111年 12月,111年,12,SUZUKI,11356
112年 1月,112年,1,SUZUKI,11371
112年 2月,112年,2,SUZUKI,11376
112年 3月,112年,3,SUZUKI,11382
112年 4月,112年,4,SUZUKI,11384
112年 5月,112年,5,SUZUKI,11383
112年 6月,112年,6,SUZUKI,11383
112年 7月,112年,7,SUZUKI,11437
112年 8月,112年,8,SUZUKI,11480
107年 1月,107年,1,TRIUMPH,2629
107年 2月,107年,2,TRIUMPH,2643
107年 3月,107年,3,TRIUMPH,2674
107年 4月,107年,4,TRIUMPH,2691
107年 5月,107年,5,TRIUMPH,2705
107年 6月,107年,6,TRIUMPH,2723
107年 7月,107年,7,TRIUMPH,2748
107年 8月,107年,8,TRIUMPH,2770
107年 9月,107年,9,TRIUMPH,2803
107年 10月,107年,10,TRIUMPH,2832
107年 11月,107年,11,TRIUMPH,2870
107年 12月,107年,12,TRIUMPH,2913
108年 1月,108年,1,TRIUMPH,2952
108年 2月,108年,2,TRIUMPH,2971
108年 3月,108年,3,TRIUMPH,2998
108年 4月,108年,4,TRIUMPH,3039
108年 5月,108年,5,TRIUMPH,3065
108年 6月,108年,6,TRIUMPH,3084
108年 7月,108年,7,TRIUMPH,3120
108年 8月,108年,8,TRIUMPH,3155
108年 9月,108年,9,TRIUMPH,3199
108年 10月,108年,10,TRIUMPH,3231
108年 11月,108年,11,TRIUMPH,3258
108年 12月,108年,12,TRIUMPH,3281
109年 1月,109年,1,TRIUMPH,3296
109年 2月,109年,2,TRIUMPH,3323
109年 3月,109年,3,TRIUMPH,3378
109年 4月,109年,4,TRIUMPH,3436
109年 5月,109年,5,TRIUMPH,3479
109年 6月,109年,6,TRIUMPH,3512
109年 7月,109年,7,TRIUMPH,3531
109年 8月,109年,8,TRIUMPH,3567
109年 9月,109年,9,TRIUMPH,3611
109年 10月,109年,10,TRIUMPH,3649
109年 11月,109年,11,TRIUMPH,3701
109年 12月,109年,12,TRIUMPH,3728
110年 1月,110年,1,TRIUMPH,3751
110年 2月,110年,2,TRIUMPH,3774
110年 3月,110年,3,TRIUMPH,3799
110年 4月,110年,4,TRIUMPH,3825
110年 5月,110年,5,TRIUMPH,3835
110年 6月,110年,6,TRIUMPH,3885
110年 7月,110年,7,TRIUMPH,3958
110年 8月,110年,8,TRIUMPH,4072
110年 9月,110年,9,TRIUMPH,4147
110年 10月,110年,10,TRIUMPH,4320
110年 11月,110年,11,TRIUMPH,4495
110年 12月,110年,12,TRIUMPH,4623
111年 1月,111年,1,TRIUMPH,4698
111年 2月,111年,2,TRIUMPH,4722
111年 3月,111年,3,TRIUMPH,4766
111年 4月,111年,4,TRIUMPH,4791
111年 5月,111年,5,TRIUMPH,4816
111年 6月,111年,6,TRIUMPH,4869
111年 7月,111年,7,TRIUMPH,5002
111年 8月,111年,8,TRIUMPH,5094
111年 9月,111年,9,TRIUMPH,5201
111年 10月,111年,10,TRIUMPH,5359
111年 11月,111年,11,TRIUMPH,5470
111年 12月,111年,12,TRIUMPH,5570
112年 1月,112年,1,TRIUMPH,5628
112年 2月,112年,2,TRIUMPH,5668
112年 3月,112年,3,TRIUMPH,5758
112年 4月,112年,4,TRIUMPH,5827
112年 5月,112年,5,TRIUMPH,5880
112年 6月,112年,6,TRIUMPH,5953
112年 7月,112年,7,TRIUMPH,6013
112年 8月,112年,8,TRIUMPH,6083
107年 1月,107年,1,YAMAHA,26455
107年 2月,107年,2,YAMAHA,26683
107年 3月,107年,3,YAMAHA,27162
107年 4月,107年,4,YAMAHA,27546
107年 5月,107年,5,YAMAHA,27998
107年 6月,107年,6,YAMAHA,28413
107年 7月,107年,7,YAMAHA,28796
107年 8月,107年,8,YAMAHA,29122
107年 9月,107年,9,YAMAHA,29423
107年 10月,107年,10,YAMAHA,29703
107年 11月,107年,11,YAMAHA,29963
107年 12月,107年,12,YAMAHA,30290
108年 1月,108年,1,YAMAHA,30635
108年 2月,108年,2,YAMAHA,30837
108年 3月,108年,3,YAMAHA,31218
108年 4月,108年,4,YAMAHA,31534
108年 5月,108年,5,YAMAHA,31824
108年 6月,108年,6,YAMAHA,32107
108年 7月,108年,7,YAMAHA,32575
108年 8月,108年,8,YAMAHA,32860
108年 9月,108年,9,YAMAHA,33190
108年 10月,108年,10,YAMAHA,33485
108年 11月,108年,11,YAMAHA,33709
108年 12月,108年,12,YAMAHA,33963
109年 1月,109年,1,YAMAHA,34243
109年 2月,109年,2,YAMAHA,34632
109年 3月,109年,3,YAMAHA,35124
109年 4月,109年,4,YAMAHA,35554
109年 5月,109年,5,YAMAHA,35999
109年 6月,109年,6,YAMAHA,36535
109年 7月,109年,7,YAMAHA,36988
109年 8月,109年,8,YAMAHA,37346
109年 9月,109年,9,YAMAHA,37863
109年 10月,109年,10,YAMAHA,38250
109年 11月,109年,11,YAMAHA,38681
109年 12月,109年,12,YAMAHA,39228
110年 1月,110年,1,YAMAHA,39412
110年 2月,110年,2,YAMAHA,39608
110年 3月,110年,3,YAMAHA,39929
110年 4月,110年,4,YAMAHA,40342
110年 5月,110年,5,YAMAHA,40711
110年 6月,110年,6,YAMAHA,40902
110年 7月,110年,7,YAMAHA,41349
110年 8月,110年,8,YAMAHA,41649
110年 9月,110年,9,YAMAHA,42214
110年 10月,110年,10,YAMAHA,42569
110年 11月,110年,11,YAMAHA,42883
110年 12月,110年,12,YAMAHA,43177
111年 1月,111年,1,YAMAHA,43440
111年 2月,111年,2,YAMAHA,43487
111年 3月,111年,3,YAMAHA,43687
111年 4月,111年,4,YAMAHA,43813
111年 5月,111年,5,YAMAHA,44053
111年 6月,111年,6,YAMAHA,44307
111年 7月,111年,7,YAMAHA,44604
111年 8月,111年,8,YAMAHA,44915
111年 9月,111年,9,YAMAHA,45238
111年 10月,111年,10,YAMAHA,45471
111年 11月,111年,11,YAMAHA,45811
111年 12月,111年,12,YAMAHA,46140
112年 1月,112年,1,YAMAHA,46383
112年 2月,112年,2,YAMAHA,46705
112年 3月,112年,3,YAMAHA,47035
112年 4月,112年,4,YAMAHA,47283
112年 5月,112年,5,YAMAHA,47570
112年 6月,112年,6,YAMAHA,47892
112年 7月,112年,7,YAMAHA,48293
112年 8月,112年,8,YAMAHA,48580
