統計期,年份,月份,廠牌,數量
108年 1月,108年,1,SUZUKI,96
108年 2月,108年,2,SUZUKI,39
108年 3月,108年,3,SUZUKI,51
108年 4月,108年,4,SUZUKI,48
108年 5月,108年,5,SUZUKI,55
108年 6月,108年,6,SUZUKI,43
108年 7月,108年,7,SUZUKI,56
108年 8月,108年,8,SUZUKI,32
108年 9月,108年,9,SUZUKI,64
108年 10月,108年,10,SUZUKI,40
108年 11月,108年,11,SUZUKI,93
108年 12月,108年,12,SUZUKI,61
109年 1月,109年,1,SUZUKI,28
109年 2月,109年,2,SUZUKI,30
109年 3月,109年,3,SUZUKI,64
109年 4月,109年,4,SUZUKI,58
109年 5月,109年,5,SUZUKI,46
109年 6月,109年,6,SUZUKI,52
109年 7月,109年,7,SUZUKI,52
109年 8月,109年,8,SUZUKI,52
109年 9月,109年,9,SUZUKI,64
109年 10月,109年,10,SUZUKI,49
109年 11月,109年,11,SUZUKI,50
109年 12月,109年,12,SUZUKI,34
110年 1月,110年,1,SUZUKI,17
110年 2月,110年,2,SUZUKI,21
110年 3月,110年,3,SUZUKI,79
110年 4月,110年,4,SUZUKI,60
110年 5月,110年,5,SUZUKI,68
110年 6月,110年,6,SUZUKI,29
110年 7月,110年,7,SUZUKI,38
110年 8月,110年,8,SUZUKI,36
110年 9月,110年,9,SUZUKI,77
110年 10月,110年,10,SUZUKI,45
110年 11月,110年,11,SUZUKI,49
110年 12月,110年,12,SUZUKI,44
111年 1月,111年,1,SUZUKI,54
111年 2月,111年,2,SUZUKI,27
111年 3月,111年,3,SUZUKI,46
111年 4月,111年,4,SUZUKI,33
111年 5月,111年,5,SUZUKI,43
111年 6月,111年,6,SUZUKI,40
111年 7月,111年,7,SUZUKI,34
111年 8月,111年,8,SUZUKI,22
111年 9月,111年,9,SUZUKI,16
111年 10月,111年,10,SUZUKI,7
111年 11月,111年,11,SUZUKI,19
111年 12月,111年,12,SUZUKI,17
112年 1月,112年,1,SUZUKI,23
112年 2月,112年,2,SUZUKI,15
112年 3月,112年,3,SUZUKI,22
112年 4月,112年,4,SUZUKI,20
112年 5月,112年,5,SUZUKI,16
112年 6月,112年,6,SUZUKI,12
112年 7月,112年,7,SUZUKI,67
112年 8月,112年,8,SUZUKI,60
107年 1月,107年,1,TRIUMPH,52
107年 2月,107年,2,TRIUMPH,17
107年 3月,107年,3,TRIUMPH,35
107年 4月,107年,4,TRIUMPH,22
107年 5月,107年,5,TRIUMPH,13
107年 6月,107年,6,TRIUMPH,18
107年 7月,107年,7,TRIUMPH,27
107年 8月,107年,8,TRIUMPH,21
107年 9月,107年,9,TRIUMPH,33
107年 10月,107年,10,TRIUMPH,31
107年 11月,107年,11,TRIUMPH,39
107年 12月,107年,12,TRIUMPH,44
108年 1月,108年,1,TRIUMPH,43
108年 2月,108年,2,TRIUMPH,22
108年 3月,108年,3,TRIUMPH,31
108年 4月,108年,4,TRIUMPH,41
108年 5月,108年,5,TRIUMPH,29
108年 6月,108年,6,TRIUMPH,20
108年 7月,108年,7,TRIUMPH,37
108年 8月,108年,8,TRIUMPH,34
108年 9月,108年,9,TRIUMPH,48
108年 10月,108年,10,TRIUMPH,30
108年 11月,108年,11,TRIUMPH,27
108年 12月,108年,12,TRIUMPH,27
109年 1月,109年,1,TRIUMPH,17
109年 2月,109年,2,TRIUMPH,26
109年 3月,109年,3,TRIUMPH,53
109年 4月,109年,4,TRIUMPH,59
109年 5月,109年,5,TRIUMPH,44
109年 6月,109年,6,TRIUMPH,36
109年 7月,109年,7,TRIUMPH,19
109年 8月,109年,8,TRIUMPH,39
109年 9月,109年,9,TRIUMPH,42
109年 10月,109年,10,TRIUMPH,40
109年 11月,109年,11,TRIUMPH,53
109年 12月,109年,12,TRIUMPH,29
110年 1月,110年,1,TRIUMPH,29
110年 2月,110年,2,TRIUMPH,21
110年 3月,110年,3,TRIUMPH,26
110年 4月,110年,4,TRIUMPH,35
110年 5月,110年,5,TRIUMPH,13
110年 6月,110年,6,TRIUMPH,50
110年 7月,110年,7,TRIUMPH,74
110年 8月,110年,8,TRIUMPH,114
110年 9月,110年,9,TRIUMPH,74
110年 10月,110年,10,TRIUMPH,173
110年 11月,110年,11,TRIUMPH,173
110年 12月,110年,12,TRIUMPH,129
111年 1月,111年,1,TRIUMPH,76
111年 2月,111年,2,TRIUMPH,26
111年 3月,111年,3,TRIUMPH,50
111年 4月,111年,4,TRIUMPH,24
111年 5月,111年,5,TRIUMPH,26
111年 6月,111年,6,TRIUMPH,55
111年 7月,111年,7,TRIUMPH,136
111年 8月,111年,8,TRIUMPH,91
111年 9月,111年,9,TRIUMPH,111
111年 10月,111年,10,TRIUMPH,164
111年 11月,111年,11,TRIUMPH,117
111年 12月,111年,12,TRIUMPH,104
112年 1月,112年,1,TRIUMPH,58
112年 2月,112年,2,TRIUMPH,42
112年 3月,112年,3,TRIUMPH,96
112年 4月,112年,4,TRIUMPH,70
112年 5月,112年,5,TRIUMPH,52
112年 6月,112年,6,TRIUMPH,75
112年 7月,112年,7,TRIUMPH,58
112年 8月,112年,8,TRIUMPH,71
107年 1月,107年,1,YAMAHA,384
107年 2月,107年,2,YAMAHA,229
107年 3月,107年,3,YAMAHA,489
107年 4月,107年,4,YAMAHA,389
107年 5月,107年,5,YAMAHA,462
107年 6月,107年,6,YAMAHA,434
107年 7月,107年,7,YAMAHA,393
107年 8月,107年,8,YAMAHA,333
107年 9月,107年,9,YAMAHA,316
107年 10月,107年,10,YAMAHA,281
107年 11月,107年,11,YAMAHA,269
107年 12月,107年,12,YAMAHA,352
108年 1月,108年,1,YAMAHA,365
108年 2月,108年,2,YAMAHA,207
108年 3月,108年,3,YAMAHA,390
108年 4月,108年,4,YAMAHA,334
108年 5月,108年,5,YAMAHA,314
108年 6月,108年,6,YAMAHA,302
108年 7月,108年,7,YAMAHA,497
108年 8月,108年,8,YAMAHA,302
108年 9月,108年,9,YAMAHA,334
108年 10月,108年,10,YAMAHA,311
108年 11月,108年,11,YAMAHA,246
108年 12月,108年,12,YAMAHA,269
109年 1月,109年,1,YAMAHA,317
109年 2月,109年,2,YAMAHA,386
109年 3月,109年,3,YAMAHA,498
109年 4月,109年,4,YAMAHA,441
109年 5月,109年,5,YAMAHA,456
109年 6月,109年,6,YAMAHA,554
109年 7月,109年,7,YAMAHA,481
109年 8月,109年,8,YAMAHA,380
109年 9月,109年,9,YAMAHA,529
109年 10月,109年,10,YAMAHA,420
109年 11月,109年,11,YAMAHA,450
109年 12月,109年,12,YAMAHA,574
110年 1月,110年,1,YAMAHA,216
110年 2月,110年,2,YAMAHA,224
110年 3月,110年,3,YAMAHA,368
110年 4月,110年,4,YAMAHA,464
110年 5月,110年,5,YAMAHA,416
110年 6月,110年,6,YAMAHA,227
110年 7月,110年,7,YAMAHA,464
110年 8月,110年,8,YAMAHA,340
110年 9月,110年,9,YAMAHA,581
110年 10月,110年,10,YAMAHA,381
110年 11月,110年,11,YAMAHA,356
110年 12月,110年,12,YAMAHA,334
111年 1月,111年,1,YAMAHA,270
111年 2月,111年,2,YAMAHA,69
111年 3月,111年,3,YAMAHA,242
111年 4月,111年,4,YAMAHA,179
111年 5月,111年,5,YAMAHA,270
111年 6月,111年,6,YAMAHA,287
111年 7月,111年,7,YAMAHA,364
111年 8月,111年,8,YAMAHA,339
111年 9月,111年,9,YAMAHA,394
111年 10月,111年,10,YAMAHA,275
111年 11月,111年,11,YAMAHA,389
111年 12月,111年,12,YAMAHA,367
112年 1月,112年,1,YAMAHA,286
112年 2月,112年,2,YAMAHA,357
112年 3月,112年,3,YAMAHA,378
112年 4月,112年,4,YAMAHA,274
112年 5月,112年,5,YAMAHA,329
112年 6月,112年,6,YAMAHA,370
112年 7月,112年,7,YAMAHA,463
112年 8月,112年,8,YAMAHA,338
